state,sex,age,educ,hisp,racecmb,relig,income,hh1,party,partyln,ideo,q2,q1,q55,q56
18,2,81,4,2,1,1,2,2,1,,1,2,2,4,3
42,1,72,4,2,1,1,3,2,3,9,2,2,2,4,1
42,2,28,3,2,1,2,5,5,3,1,5,2,2,4,3
8,2,52,8,2,1,1,6,8,3,1,2,2,2,4,1
27,2,53,3,2,1,9,3,6,2,,3,1,1,3,3
8,2,62,6,2,1,1,10,2,3,9,3,2,2,3,3
48,1,70,3,2,1,1,3,4,3,9,2,2,2,3,3
17,2,63,4,2,1,1,10,3,2,,2,2,2,3,2
1,2,81,6,2,1,1,10,2,1,,2,2,2,4,9
55,1,55,6,2,2,1,10,2,1,,2,2,2,3,3
11,2,75,6,2,2,1,3,1,2,,4,2,1,4,1
48,2,65,8,2,1,2,6,1,2,,4,1,1,4,1
17,2,64,6,2,1,2,8,2,3,1,2,2,2,4,1
55,2,63,8,2,1,11,3,3,2,,5,1,1,3,1
36,2,67,6,2,1,5,10,2,2,,4,2,2,4,9
18,1,52,4,2,4,1,3,5,2,,2,1,1,2,1
1,2,73,3,2,1,1,4,1,1,,2,2,2,4,3
12,1,46,8,2,1,4,9,4,3,1,2,2,2,3,3
1,2,34,6,2,1,1,9,4,3,1,3,2,2,4,3
36,2,19,4,2,1,10,7,4,3,2,4,1,2,3,1
18,2,60,8,2,1,1,1,1,3,1,2,2,1,3,3
42,2,99,8,9,9,99,10,2,9,9,3,2,1,3,9
30,2,37,8,2,1,13,8,3,2,,5,2,1,4,3
29,1,56,4,2,1,13,1,2,1,,2,2,2,4,3
19,1,32,8,2,1,1,6,4,1,,2,2,2,3,3
39,1,60,4,2,1,12,5,1,2,,5,2,1,3,1
9,1,66,8,2,1,2,9,2,3,2,3,2,1,3,3
23,2,29,6,2,1,2,5,2,2,,3,1,1,3,3
30,2,65,3,2,1,1,3,2,3,1,2,2,2,4,3
4,1,50,8,2,1,99,10,2,3,1,2,2,2,4,2
29,1,76,3,2,1,2,7,2,3,9,3,2,2,4,1
4,1,77,6,2,1,1,5,2,1,,3,2,2,3,1
39,2,73,3,2,1,2,2,1,2,,3,2,2,4,3
29,2,45,4,2,1,2,10,3,2,,3,2,9,3,3
12,2,86,8,2,1,2,8,1,2,,2,2,1,2,3
6,1,46,4,1,1,2,2,3,2,,2,2,2,3,3
6,1,34,4,2,1,1,3,4,3,2,4,1,1,2,1
1,1,57,3,2,1,1,3,3,3,1,5,2,2,4,1
12,2,51,6,2,1,2,6,5,2,,4,2,1,3,1
6,2,73,3,9,1,12,4,2,1,,2,9,2,3,2
4,2,39,3,1,1,12,2,9,3,1,4,1,1,3,1
48,1,73,1,1,1,2,1,1,3,2,3,1,2,3,1
4,1,74,8,2,1,12,8,3,2,,4,2,1,3,3
48,2,54,1,2,5,1,1,1,3,9,3,2,2,3,3
6,2,67,8,2,1,1,2,1,1,,2,2,2,4,3
4,1,64,4,2,5,1,7,2,2,,4,1,1,3,3
4,1,66,3,2,1,1,3,1,3,1,3,2,9,4,1
1,1,69,6,2,5,1,10,1,3,9,2,2,2,4,9
40,2,99,6,2,2,1,8,2,2,,2,1,1,3,3
4,2,82,4,2,1,2,10,2,1,,1,2,2,4,9
28,2,57,6,2,1,1,4,2,1,,2,2,2,4,3
29,1,18,3,2,1,9,6,4,2,,4,1,9,2,3
53,1,56,8,2,1,6,5,1,2,,4,2,1,3,3
4,1,35,8,2,1,5,7,5,2,,4,2,1,3,3
30,1,72,3,2,1,12,4,2,2,,2,2,2,4,2
29,2,18,3,2,1,2,6,4,1,,9,9,1,2,3
